aah	A
observer	OBSRFR
observing	OBSRFNK
obsess	OBSS
obsessed	OBSST
obsessing	OBSSNK
obsession	OBSSN
obsessional	OBSSNL
obsessionally	OBSSNL
obsessive	OBSSF
obsessively	OBSSFL
obsessiveness	OBSSFNS
obsidian	OBSTN
obsolesce	OBSLS
obsolesced	OBSLST
obsolescence	OBSLSNS
obsolescent	OBSLSNT
obsolescing	OBSLSNK
obsolete	OBSLT
obsoleted	OBSLTT
obsoleting	OBSLTNK
obstacle	OBSTKL
obstetric	OBSTTRK
obstetrical	OBSTTRKL
obstetrician	OBSTTRXN
obstinacy	OBSTNS
obstinate	OBSTNT
obstinately	OBSTNTL
obstreperous	OBSTRPRS
obstreperously	OBSTRPRSL
obstreperousness	OBSTRPRSNS
obstruct	OBSTRKT
obstructed	OBSTRKTT
obstructing	OBSTRKTNK
obstruction	OBSTRKXN
obstructionism	OBSTRKXNSM
obstructionist	OBSTRKXNST
obstructive	OBSTRKTF
obstructively	OBSTRKTFL
obstructiveness	OBSTRKTFNS
obtain	OBTN
obtainable	OBTNBL
obtained	OBTNT
obtaining	OBTNNK
obtainment	OBTNMNT
obtrude	OBTRT
obtruded	OBTRTT
obtruding	OBTRTNK
obtrusion	OBTRXN
obtrusive	OBTRSF
obtrusively	OBTRSFL
obtrusiveness	OBTRSFNS
obtuse	OBTS
obtusely	OBTSL
obtuseness	OBTSNS
obtuser	OBTSR
obtusest	OBTSST
obverse	OBFRS
obviate	OBFT
obviated	OBFTT
obviating	OBFTNK
obviation	OBFXN
obvious	OBFS
obviously	OBFSL
obviousness	OBFSNS
ocarina	OKRN
occasion	OKKXN
occasional	OKKXNL
occasionally	OKKXNL
occasioned	OKKXNT
occasioning	OKKXNNK
occidental	OKSTNTL
occlude	OKKLT
occluded	OKKLTT
occluding	OKKLTNK
occlusion	OKKLXN
occlusive	OKKLSF
occult	OKKLT
occultism	OKKLTSM
occultist	OKKLTST
occupancy	OKKPNS
occupant	OKKPNT
occupation	OKKPXN
occupational	OKKPXNL
occupationally	OKKPXNL
occupied	OKKPT
occupier	OKKPR
occupy	OKKP
occupying	OKKPYNK
occur	OKKR
occurred	OKKRT
occurrence	OKKRNS
occurring	OKKRNK
ocean	OSN
oceanfront	OSNFRNT
oceangoing	OSNKNK
oceanic	OSNK
oceanographer	OSNKRFR
oceanographic	OSNKRFK
oceanography	OSNKRF
oceanology	OSNLJ
ocelot	OSLT
ocher	OXR
ocker	OKR
o'clock	OKLK
octagon	OKTKN
octagonal	OKTKNL
octal	OKTL
octane	OKTN
octave	OKTF
octavo	OKTF
octet	OKTT
octogenarian	OKTJNRN
octopus	OKTPS
ocular	OKLR
oculist	OKLST
odalisque	OTLSK
odd	OT
oddball	OTBL
odder	OTR
oddest	OTST
oddity	OTT
oddly	OTL
oddment	OTMNT
oddness	OTNS
ode	OT
odious	OTS
odiously	OTSL
odiousness	OTSNS
odium	OTM
odometer	OTMTR
odor	OTR
odored	OTRT
odoriferous	OTRFRS
odorless	OTRLS
odorous	OTRS
odyssey	OTS
oedipal	OTPL
oenology	ONLJ
oenophile	ONFL
oeuvre	OFR
off	OF
offal	OFL
offbeat	OFBT
offed	OFT
offend	OFNT
offended	OFNTT
offender	OFNTR
offending	OFNTNK
offense	OFNS
offensive	OFNSF
offensively	OFNSFL
offensiveness	OFNSFNS
offer	OFR
offered	OFRT
offering	OFRNK
offertory	OFRTR
offhand	OFHNT
offhanded	OFHNTT
offhandedly	OFHNTTL
offhandedness	OFHNTTNS
office	OFS
officeholder	OFSHLTR
officer	OFSR
official	OFXL
officialdom	OFXLTM
officialese	OFXLS
officialism	OFXLSM
officially	OFXL
officiant	OFXNT
officiate	OFXT
officiated	OFXTT
officiating	OFXTNK
officiator	OFXTR
officious	OFSS
officiously	OFSSL
officiousness	OFSSNS
offing	OFNK
offish	OFX
offline	OFLN
offload	OFLT
offloaded	OFLTT
offloading	OFLTNK
offprint	OFPRNT
offset	OFST
offsetting	OFSTNK
offshoot	OFXT
offshore	OFXR
offshoring	OFXRNK
offside	OFST
offspring	OFSPRNK
offstage	OFSTJ
offtrack	OFTRK
oft	OFT
often	OFTN
oftener	OFTNR
oftenest	OFTNST
oftentimes	OFTNTMS
ofttimes	OFTMS
ogle	OKL
ogled	OKLT
ogler	OKLR
ogling	OKLNK
ogre	OKR
ogreish	OKRX
ogress	OKRS
ogresses	OKRSS
ohm	OM
ohmmeter	OMTR
oho	OH
oil	OL
oilcan	OLKN
oilcloth	OLKL0
oiled	OLT
oilfield	OLFLT
oilier	OLR
oiliest	OLST
oiliness	OLNS
oiling	OLNK
oilman	OLMN
oilmen	OLMN
oilskin	OLSKN
oily	OL
oink	ONK
oinked	ONKT
oinking	ONKNK
ointment	ONTMNT
okapi	OKP
okay	OK
okaying	OKYNK
okra	OKR
old	OLT
olden	OLTN
older	OLTR
oldest	OLTST
oldie	OLT
oldish	OLTX
oldness	OLTNS
oldster	OLTSTR
ole	OL
oleaginous	OLJNS
oleander	OLNTR
oleo	OL
oleomargarine	OLMRKRN
oles	OLS
olfactory	OLFKTR
oligarch	OLKRX
oligarchic	OLKRXK
oligarchical	OLKRXKL
oligarchy	OLKRX
oligonucleotide	OLKNKLTT
oligopoly	OLKPL
olive	OLF
ombudsman	OMTSMN
ombudsmen	OMTSMN
omega	OMK
omelet	OMLT
omen	OMN
omicron	OMKRN
ominous	OMNS
ominously	OMNSL
ominousness	OMNSNS
omission	OMSN
omit	OMT
omitted	OMTT
omitting	OMTNK
omnibus	OMNBS
omnipotence	OMNPTNS
omnipotent	OMNPTNT
omnipresence	OMNPRSNS
omnipresent	OMNPRSNT
omniscience	OMNSNS
omniscient	OMNSNT
omnivore	OMNFR
omnivorous	OMNFRS
omnivorously	OMNFRSL
omnivorousness	OMNFRSNS
once	ONS
oncogene	ONKJN
oncologist	ONKLJST
oncology	ONKLJ
oncoming	ONKMNK
one	ON
oneness	ONNS
onerous	ONRS
onerously	ONRSL
onerousness	ONRSNS
oneself	ONSLF
onetime	ONTM
ongoing	ONKNK
onion	ONN
onionskin	ONNSKN
online	ONLN
onlooker	ONLKR
onlooking	ONLKNK
only	ONL
onomatopoeia	ONMTP
onomatopoeic	ONMTPK
onomatopoetic	ONMTPTK
onrush	ONRX
onrushing	ONRXNK
onscreen	ONSKRN
onset	ONST
onshore	ONXR
onside	ONST
onslaught	ONSLFT
onstage	ONSTJ
onto	ONT
ontogeny	ONTJN
ontological	ONTLJKL
ontology	ONTLJ
onus	ONS
onward	ONWRT
onyx	ONKS
onyxes	ONKSS
oodles	OTLS
ooh	O
oohed	OHT
oohing	OHNK
oomph	OMF
oops	OPS
ooze	OS
oozed	OST
oozier	OSR
ooziest	OSST
oozing	OSNK
oozy	OS
opacity	OPST
opal	OPL
opalescence	OPLSNS
opalescent	OPLSNT
opaque	OPK
opaqued	OPKT
opaquely	OPKL
opaqueness	OPKNS
opaquer	OPKR
opaquest	OPKST
opaquing	OPKNK
open	OPN
opencast	OPNKST
opened	OPNT
opener	OPNR
openest	OPNST
openhanded	OPNHNTT
openhandedness	OPNHNTTNS
openhearted	OPNHRTT
opening	OPNNK
openly	OPNL
openness	OPNS
openwork	OPNWRK
opera	OPR
operable	OPRBL
operand	OPRNT
operate	OPRT
operated	OPRTT
operatic	OPRTK
operatically	OPRTKL
operating	OPRTNK
operation	OPRXN
operational	OPRXNL
operationally	OPRXNL
operative	OPRTF
operator	OPRTR
operetta	OPRT
opes	OPS
ophthalmic	OF0LMK
ophthalmologist	OF0LMLJST
ophthalmology	OF0LMLJ
opiate	OPT
opine	OPN
opined	OPNT
oping	OPNK
opining	OPNNK
opinion	OPNN
opinionated	OPNNTT
opium	OPM
opossum	OPSM
opponent	OPNNT
opportune	OPRTN
opportunely	OPRTNL
opportunism	OPRTNSM
opportunist	OPRTNST
opportunistic	OPRTNSTK
opportunistically	OPRTNSTKL
opportunity	OPRTNT
oppose	OPS
opposed	OPST
opposing	OPSNK
opposite	OPST
oppositely	OPSTL
opposition	OPSXN
oppress	OPRS
oppressed	OPRST
oppressing	OPRSNK
oppression	OPRSN
oppressive	OPRSF
oppressively	OPRSFL
oppressiveness	OPRSFNS
oppressor	OPRSR
opprobrious	OPRBRS
opprobriously	OPRBRSL
opprobrium	OPRBRM
opt	OPT
opted	OPTT
optic	OPTK
optical	OPTKL
optically	OPTKL
optician	OPTXN
optima	OPTM
optimal	OPTML
optimally	OPTML
optimism	OPTMSM
optimist	OPTMST
optimistic	OPTMSTK
optimistically	OPTMSTKL
optimization	OPTMSXN
optimize	OPTMS
optimized	OPTMST
optimizer	OPTMSR
optimizing	OPTMSNK
optimum	OPTMM
opting	OPTNK
option	OPXN
optional	OPXNL
optionally	OPXNL
optioned	OPXNT
optioning	OPXNNK
optometrist	OPTMTRST
optometry	OPTMTR
opulence	OPLNS
opulent	OPLNT
opulently	OPLNTL
opus	OPS
oracle	ORKL
oracular	ORKLR
oral	ORL
orally	ORL
orange	ORNJ
orangeade	ORNJT
orangeness	ORNJNS
orangery	ORNJR
orangutan	ORNKTN
orate	ORT
orated	ORTT
orating	ORTNK
oration	ORXN
orator	ORTR
oratorical	ORTRKL
oratorically	ORTRKL
oratorio	ORTR
oratory	ORTR
orb	ORB
orbicular	ORBKLR
orbit	ORBT
orbital	ORBTL
orbited	ORBTT
orbiter	ORBTR
orbiting	ORBTNK
orc	ORK
orchard	ORXRT
orchestra	ORXSTR
orchestral	ORXSTRL
orchestrate	ORXSTRT
orchestrated	ORXSTRTT
orchestrating	ORXSTRTNK
orchestration	ORXSTRXN
orchid	ORXT
ordain	ORTN
ordained	ORTNT
ordaining	ORTNNK
ordainment	ORTNMNT
ordeal	ORTL
order	ORTR
ordered	ORTRT
ordering	ORTRNK
orderliness	ORTRLNS
orderly	ORTRL
ordinal	ORTNL
ordinance	ORTNNS
ordinarily	ORTNRL
ordinariness	ORTNRNS
ordinary	ORTNR
ordinate	ORTNT
ordination	ORTNXN
ordnance	ORTNNS
ordure	ORTR
ore	OR
oregano	ORKN
org	ORK
organ	ORKN
organdy	ORKNT
organelle	ORKNL
organic	ORKNK
organically	ORKNKL
organism	ORKNSM
organismic	ORKNSMK
organist	ORKNST
organization	ORKNSXN
organizational	ORKNSXNL
organizationally	ORKNSXNL
organize	ORKNS
organized	ORKNST
organizer	ORKNSR
organizing	ORKNSNK
organza	ORKNS
orgasm	ORKSM
orgasmic	ORKSMK
orgiastic	ORJSTK
orgy	ORJ
oriel	ORL
orient	ORNT
oriental	ORNTL
orientalist	ORNTLST
orientate	ORNTT
orientated	ORNTTT
orientating	ORNTTNK
orientation	ORNTXN
oriented	ORNTT
orienteering	ORNTRNK
orienting	ORNTNK
orifice	ORFS
orig	ORK
origami	ORKM
origin	ORJN
original	ORJNL
originality	ORJNLT
originally	ORJNL
originate	ORJNT
originated	ORJNTT
originating	ORJNTNK
origination	ORJNXN
originator	ORJNTR
oriole	ORL
orison	ORSN
ormolu	ORML
ornament	ORNMNT
ornamental	ORNMNTL
ornamentation	ORNMNTXN
ornamented	ORNMNTT
ornamenting	ORNMNTNK
ornate	ORNT
ornately	ORNTL
ornateness	ORNTNS
ornerier	ORNRR
orneriest	ORNRST
orneriness	ORNRNS
ornery	ORNR
ornithological	ORN0LJKL
ornithologist	ORN0LJST
ornithology	ORN0LJ
orotund	ORTNT
orotundity	ORTNTT
orphan	ORFN
orphanage	ORFNJ
orphaned	ORFNT
orphaning	ORFNNK
orris	ORS
orthodontia	OR0TNX
orthodontic	OR0TNTK
orthodontist	OR0TNTST
orthodox	OR0TKS
orthodoxy	OR0TKS
orthogonal	OR0KNL
orthogonality	OR0KNLT
orthographic	OR0KRFK
orthographically	OR0KRFKL
orthography	OR0KRF
orthopedic	OR0PTK
orthopedist	OR0PTST
orzo	ORS
oscillate	OSLT
oscillated	OSLTT
oscillating	OSLTNK
oscillation	OSLXN
oscillator	OSLTR
oscillatory	OSLTR
oscilloscope	OSLSKP
osculate	OSKLT
osculated	OSKLTT
osculating	OSKLTNK
osculation	OSKLXN
osier	OSR
osmium	OSMM
osmosis	OSMSS
osmotic	OSMTK
osprey	OSPR
ossification	OSFKXN
ossified	OSFT
ossify	OSF
ossifying	OSFYNK
ostensible	OSTNSBL
ostensibly	OSTNSBL
ostentation	OSTNTXN
ostentatious	OSTNTXS
ostentatiously	OSTNTXSL
osteoarthritis	OSTR0RTS
osteopath	OSTP0
osteopathic	OSTP0K
osteopathy	OSTP0
osteoporosis	OSTPRSS
ostler	OSTLR
ostracism	OSTRSSM
ostracize	OSTRSS
ostracized	OSTRSST
ostracizing	OSTRSSNK
ostrich	OSTRX
other	O0R
otherness	O0RNS
otherwise	O0RWS
otherworldly	O0RWRLTL
otiose	OXS
otter	OTR
ottoman	OTMN
oubliette	OBLT
ouch	OX
ought	OFT
ounce	ONS
our	OR
ourselves	ORSLFS
oust	OST
ousted	OSTT
ouster	OSTR
ousting	OSTNK
out	OT
outage	OTJ
outargue	OTRK
outargued	OTRKT
outarguing	OTRKNK
outback	OTBK
outbalance	OTBLNS
outbalanced	OTBLNST
outbalancing	OTBLNSNK
outbid	OTBT
outbidding	OTBTNK
outboard	OTBRT
outboast	OTBST
outboasted	OTBSTT
outboasting	OTBSTNK
outbound	OTBNT
outbox	OTBKS
outboxes	OTBKSS
outbreak	OTBRK
outbuilding	OTBLTNK
outburst	OTBRST
outcast	OTKST
outclass	OTKLS
outclassed	OTKLST
outclassing	OTKLSNK
outcome	OTKM
outcrop	OTKRP
outcropped	OTKRPT
outcropping	OTKRPNK
outcry	OTKR
outdated	OTTTT
outdid	OTTT
outdistance	OTTSTNS
outdistanced	OTTSTNST
outdistancing	OTTSTNSNK
outdo	OTT
outdoes	OTTS
outdoing	OTTNK
outdone	OTTN
outdoor	OTTR
outdoorsy	OTTRS
outdraw	OTTR
outdrawing	OTTRWNK
outdrawn	OTTRN
outdrew	OTTR
outed	OTT
outer	OTR
outermost	OTRMST
outerwear	OTRWR
outface	OTFS
outfaced	OTFST
outfacing	OTFSNK
outfall	OTFL
outfield	OTFLT
outfielder	OTFLTR
outfight	OTFFT
outfighting	OTFFTNK
outfit	OTFT
outfitted	OTFTT
outfitter	OTFTR
outfitting	OTFTNK
outflank	OTFLNK
outflanked	OTFLNKT
outflanking	OTFLNKNK
outflow	OTFL
outfought	OTFFT
outfox	OTFKS
outfoxed	OTFKST
outfoxes	OTFKSS
outfoxing	OTFKSNK
outgo	OTK
outgoes	OTKS
outgoing	OTKNK
outgrew	OTKR
outgrow	OTKR
outgrowing	OTKRWNK
outgrown	OTKRN
outgrowth	OTKR0
outguess	OTKS
outguessed	OTKST
outguessing	OTKSNK
outgun	OTKN
outgunned	OTKNT
outgunning	OTKNNK
outhit	O0T
outhitting	O0TNK
outhouse	O0S
outing	OTNK
outlaid	OTLT
outlandish	OTLNTX
outlandishly	OTLNTXL
outlandishness	OTLNTXNS
outlast	OTLST
outlasted	OTLSTT
outlasting	OTLSTNK
outlaw	OTL
outlawed	OTLWT
outlawing	OTLWNK
outlay	OTL
outlaying	OTLYNK
outlet	OTLT
outline	OTLN
outlined	OTLNT
outlining	OTLNNK
outlive	OTLF
outlived	OTLFT
outliving	OTLFNK
outlook	OTLK
outlying	OTLYNK
outmaneuver	OTMNFR
outmaneuvered	OTMNFRT
outmaneuvering	OTMNFRNK
outmatch	OTMX
outmatched	OTMXT
outmatching	OTMXNK
outmoded	OTMTT
outnumber	OTNMR
outnumbered	OTNMRT
outnumbering	OTNMRNK
outpace	OTPS
outpaced	OTPST
outpacing	OTPSNK
outpatient	OTPTNT
outperform	OTPRFRM
outperformed	OTPRFRMT
outperforming	OTPRFRMNK
outplace	OTPLS
outplacement	OTPLSMNT
outplay	OTPL
outplayed	OTPLYT
outplaying	OTPLYNK
outpoint	OTPNT
outpointed	OTPNTT
outpointing	OTPNTNK
outpost	OTPST
outpouring	OTPRNK
outproduce	OTPRTS
outproduced	OTPRTST
outproducing	OTPRTSNK
output	OTPT
outputted	OTPTT
outputting	OTPTNK
outrace	OTRS
outraced	OTRST
outracing	OTRSNK
outrage	OTRJ
outraged	OTRJT
outrageous	OTRJS
outrageously	OTRJSL
outraging	OTRJNK
outran	OTRN
outrank	OTRNK
outranked	OTRNKT
outranking	OTRNKNK
outre	OTR
outreach	OTRX
outreached	OTRXT
outreaching	OTRXNK
outrider	OTRTR
outrigger	OTRKR
outright	OTRFT
outrun	OTRN
outrunning	OTRNNK
outscore	OTSKR
outscored	OTSKRT
outscoring	OTSKRNK
outsell	OTSL
outselling	OTSLNK
outset	OTST
outshine	OTXN
outshining	OTXNNK
outshone	OTXN
outshout	OTXT
outshouted	OTXTT
outshouting	OTXTNK
outside	OTST
outsider	OTSTR
outsize	OTSS
outskirt	OTSKRT
outsmart	OTSMRT
outsmarted	OTSMRTT
outsmarting	OTSMRTNK
outsold	OTSLT
outsource	OTSRS
outsourced	OTSRST
outsourcing	OTSRSNK
outspend	OTSPNT
outspending	OTSPNTNK
outspent	OTSPNT
outspoken	OTSPKN
outspokenly	OTSPKNL
outspokenness	OTSPKNS
outspread	OTSPRT
outspreading	OTSPRTNK
outstanding	OTSTNTNK
outstandingly	OTSTNTNKL
outstation	OTSTXN
outstay	OTST
outstayed	OTSTYT
outstaying	OTSTYNK
outstretch	OTSTRX
outstretched	OTSTRXT
outstretching	OTSTRXNK
outstrip	OTSTRP
outstripped	OTSTRPT
outstripping	OTSTRPNK
outta	OT
outtake	OTK
outvote	OTFT
outvoted	OTFTT
outvoting	OTFTNK
outward	OTWRT
outwardly	OTWRTL
outwear	OTWR
outwearing	OTWRNK
outweigh	OTWF
outweighed	OTWFT
outweighing	OTWFNK
outwit	OTWT
outwith	OTW0
outwitted	OTWTT
outwitting	OTWTNK
outwore	OTWR
outwork	OTWRK
outworked	OTWRKT
outworker	OTWRKR
outworking	OTWRKNK
outworn	OTWRN
ouzo	OS
ova	OF
oval	OFL
ovarian	OFRN
ovary	OFR
ovate	OFT
ovation	OFXN
oven	OFN
ovenbird	OFNBRT
ovenproof	OFNPRF
ovenware	OFNWR
over	OFR
overabundance	OFRBNTNS
overabundant	OFRBNTNT
overachieve	OFRXF
overachieved	OFRXFT
overachiever	OFRXFR
overachieving	OFRXFNK
overact	OFRKT
overacted	OFRKTT
overacting	OFRKTNK
overactive	OFRKTF
overage	OFRJ
overaggressive	OFRKRSF
overall	OFRL
overambitious	OFRMXS
overanxious	OFRNKSS
overarching	OFRRXNK
overarm	OFRRM
overarmed	OFRRMT
overarming	OFRRMNK
overate	OFRT
overattentive	OFRTNTF
overawe	OFRW
overawed	OFRWT
overawing	OFRWNK
overbalance	OFRBLNS
overbalanced	OFRBLNST
overbalancing	OFRBLNSNK
overbear	OFRBR
overbearing	OFRBRNK
overbearingly	OFRBRNKL
overbid	OFRBT
overbidding	OFRBTNK
overbite	OFRBT
overblown	OFRBLN
overboard	OFRBRT
overbold	OFRBLT
overbook	OFRBK
overbooked	OFRBKT
overbooking	OFRBKNK
overbore	OFRBR
overborne	OFRBRN
overbought	OFRBT
overbuild	OFRBLT
overbuilding	OFRBLTNK
overbuilt	OFRBLT
overburden	OFRBRTN
overburdened	OFRBRTNT
overburdening	OFRBRTNNK
overbuy	OFRB
overbuying	OFRBYNK
overcame	OFRKM
overcapacity	OFRKPST
overcapitalize	OFRKPTLS
overcapitalized	OFRKPTLST
overcapitalizing	OFRKPTLSNK
overcareful	OFRKRFL
overcast	OFRKST
overcasting	OFRKSTNK
overcautious	OFRKXS
overcharge	OFRXRJ
overcharged	OFRXRJT
overcharging	OFRXRJNK
overclock	OFRKLK
overclocked	OFRKLKT
overclocking	OFRKLKNK
overcloud	OFRKLT
overclouded	OFRKLTT
overclouding	OFRKLTNK
overcoat	OFRKT
overcome	OFRKM
overcoming	OFRKMNK
overcompensate	OFRKMPNST
overcompensated	OFRKMPNSTT
overcompensating	OFRKMPNSTNK
overcompensation	OFRKMPNSXN
overconfidence	OFRKNFTNS
overconfident	OFRKNFTNT
overconscientious	OFRKNSNXS
overcook	OFRKK
overcooked	OFRKKT
overcooking	OFRKKNK
overcritical	OFRKRTKL
overcrowd	OFRKRT
overcrowded	OFRKRTT
overcrowding	OFRKRTNK
overdecorate	OFRTKRT
overdecorated	OFRTKRTT
overdecorating	OFRTKRTNK
overdependent	OFRTPNTNT
overdevelop	OFRTFLP
overdeveloped	OFRTFLPT
overdeveloping	OFRTFLPNK
overdid	OFRTT
overdo	OFRT
overdoes	OFRTS
overdoing	OFRTNK
overdone	OFRTN
overdose	OFRTS
overdosed	OFRTST
overdosing	OFRTSNK
overdraft	OFRTRFT
overdraw	OFRTR
overdrawing	OFRTRWNK
overdrawn	OFRTRN
overdress	OFRTRS
overdressed	OFRTRST
overdressing	OFRTRSNK
overdrew	OFRTR
overdrive	OFRTRF
overdub	OFRTB
overdubbed	OFRTBT
overdubbing	OFRTBNK
overdue	OFRT
overeager	OFRJR
overeat	OFRT
overeaten	OFRTN
overeating	OFRTNK
overemotional	OFRMXNL
overemphasis	OFRMFSS
overemphasize	OFRMFSS
overemphasized	OFRMFSST
overemphasizing	OFRMFSSNK
overenthusiastic	OFRN0XSTK
overestimate	OFRSTMT
overestimated	OFRSTMTT
overestimating	OFRSTMTNK
overestimation	OFRSTMXN
overexcite	OFRKSST
overexcited	OFRKSSTT
overexciting	OFRKSSTNK
overexercise	OFRKSRSS
overexercised	OFRKSRSST
overexercising	OFRKSRSSNK
overexert	OFRKSRT
overexerted	OFRKSRTT
overexerting	OFRKSRTNK
overexertion	OFRKSRXN
overexpose	OFRKSPS
overexposed	OFRKSPST
overexposing	OFRKSPSNK
overexposure	OFRKSPSR
overextend	OFRKSTNT
overextended	OFRKSTNTT
overextending	OFRKSTNTNK
overfed	OFRFT
overfeed	OFRFT
overfeeding	OFRFTNK
overfill	OFRFL
overfilled	OFRFLT
overfilling	OFRFLNK
overflew	OFRFL
overflight	OFRFLFT
overflow	OFRFL
overflowed	OFRFLWT
overflowing	OFRFLWNK
overflown	OFRFLN
overfly	OFRFL
overflying	OFRFLYNK
overfond	OFRFNT
overfull	OFRFL
overgeneralize	OFRJNRLS
overgeneralized	OFRJNRLST
overgeneralizing	OFRJNRLSNK
overgenerous	OFRJNRS
overgraze	OFRKRS
overgrazed	OFRKRST
overgrazing	OFRKRSNK
overgrew	OFRKR
overground	OFRKRNT
overgrow	OFRKR
overgrowing	OFRKRWNK
overgrown	OFRKRN
overgrowth	OFRKR0
overhand	OFRHNT
overhanded	OFRHNTT
overhang	OFRHNK
overhanging	OFRHNJNK
overhasty	OFRHST
overhaul	OFRHL
overhauled	OFRHLT
overhauling	OFRHLNK
overhead	OFRHT
overhear	OFRHR
overheard	OFRHRT
overhearing	OFRHRNK
overheat	OFRHT
overheated	OFRHTT
overheating	OFRHTNK
overhung	OFRHNK
overindulge	OFRNTLJ
overindulged	OFRNTLJT
overindulgence	OFRNTLJNS
overindulgent	OFRNTLJNT
overindulging	OFRNTLJNK
overjoy	OFRJ
overjoyed	OFRJYT
overjoying	OFRJYNK
overkill	OFRKL
overladen	OFRLTN
overlaid	OFRLT
overlain	OFRLN
overland	OFRLNT
overlap	OFRLP
overlapped	OFRLPT
overlapping	OFRLPNK
overlarge	OFRLRJ
overlay	OFRL
overlaying	OFRLYNK
overleaf	OFRLF
overlie	OFRL
overload	OFRLT
overloaded	OFRLTT
overloading	OFRLTNK
overlong	OFRLNK
overlook	OFRLK
overlooked	OFRLKT
overlooking	OFRLKNK
overlord	OFRLRT
overly	OFRL
overlying	OFRLYNK
overmanned	OFRMNT
overmanning	OFRMNNK
overmaster	OFRMSTR
overmastered	OFRMSTRT
overmastering	OFRMSTRNK
overmodest	OFRMTST
overmuch	OFRMX
overnice	OFRNS
overnight	OFRNFT
overoptimism	OFRPTMSM
overoptimistic	OFRPTMSTK
overpaid	OFRPT
overparticular	OFRPRTKLR
overpass	OFRPS
overpay	OFRP
overpaying	OFRPYNK
overplay	OFRPL
overplayed	OFRPLYT
overplaying	OFRPLYNK
overpopulate	OFRPPLT
overpopulated	OFRPPLTT
overpopulating	OFRPPLTNK
overpopulation	OFRPPLXN
overpower	OFRPWR
overpowered	OFRPWRT
overpowering	OFRPWRNK
overpoweringly	OFRPWRNKL
overpraise	OFRPRS
overpraised	OFRPRST
overpraising	OFRPRSNK
overprecise	OFRPRSS
overprice	OFRPRS
overpriced	OFRPRST
overpricing	OFRPRSNK
overprint	OFRPRNT
overprinted	OFRPRNTT
overprinting	OFRPRNTNK
overproduce	OFRPRTS
overproduced	OFRPRTST
overproducing	OFRPRTSNK
overproduction	OFRPRTKXN
overprotect	OFRPRTKT
overprotected	OFRPRTKTT
overprotecting	OFRPRTKTNK
overprotective	OFRPRTKTF
overqualified	OFRKLFT
overran	OFRN
overrate	OFRT
overrated	OFRTT
overrating	OFRTNK
overreach	OFRX
overreached	OFRXT
overreaching	OFRXNK
overreact	OFRKT
overreacted	OFRKTT
overreacting	OFRKTNK
overreaction	OFRKXN
overrefined	OFRFNT
overridden	OFRTN
override	OFRT
overriding	OFRTNK
overripe	OFRP
overrode	OFRT
overrule	OFRL
overruled	OFRLT
overruling	OFRLNK
overrun	OFRN
overrunning	OFRNNK
oversampling	OFRSMPLNK
oversaw	OFRS
oversea	OFRS
oversee	OFRS
overseeing	OFRSNK
overseen	OFRSN
overseer	OFRSR
oversell	OFRSL
overselling	OFRSLNK
oversensitive	OFRSNSTF
oversensitiveness	OFRSNSTFNS
oversexed	OFRSKST
overshadow	OFRXT
overshadowed	OFRXTWT
overshadowing	OFRXTWNK
overshare	OFRXR
overshared	OFRXRT
oversharing	OFRXRNK
overshoe	OFRX
overshoot	OFRXT
overshooting	OFRXTNK
overshot	OFRXT
oversight	OFRSFT
oversimple	OFRSMPL
oversimplification	OFRSMPLFKXN
oversimplified	OFRSMPLFT
oversimplify	OFRSMPLF
oversimplifying	OFRSMPLFYNK
oversize	OFRSS
oversleep	OFRSLP
oversleeping	OFRSLPNK
overslept	OFRSLPT
oversold	OFRSLT
overspecialization	OFRSPXLSXN
overspecialize	OFRSPXLS
overspecialized	OFRSPXLST
overspecializing	OFRSPXLSNK
overspend	OFRSPNT
overspending	OFRSPNTNK
overspent	OFRSPNT
overspread	OFRSPRT
overspreading	OFRSPRTNK
overstaffed	OFRSTFT
overstate	OFRSTT
overstated	OFRSTTT
overstatement	OFRSTTMNT
overstating	OFRSTTNK
overstay	OFRST
overstayed	OFRSTYT
overstaying	OFRSTYNK
overstep	OFRSTP
overstepped	OFRSTPT
overstepping	OFRSTPNK
overstimulate	OFRSTMLT
overstimulated	OFRSTMLTT
overstimulating	OFRSTMLTNK
overstock	OFRSTK
overstocked	OFRSTKT
overstocking	OFRSTKNK
overstretch	OFRSTRX
overstretched	OFRSTRXT
overstretching	OFRSTRXNK
overstrict	OFRSTRKT
overstrung	OFRSTRNK
overstuffed	OFRSTFT
oversubscribe	OFRSBSKRB
oversubscribed	OFRSBSKRBT
oversubscribing	OFRSBSKRBNK
oversubtle	OFRSBTL
oversupplied	OFRSPLT
oversupply	OFRSPL
oversupplying	OFRSPLYNK
oversuspicious	OFRSSPSS
overt	OFRT
overtake	OFRTK
overtaken	OFRTKN
overtaking	OFRTKNK
overtax	OFRTKS
overtaxed	OFRTKST
overtaxes	OFRTKSS
overtaxing	OFRTKSNK
overthink	OFR0NK
overthinking	OFR0NKNK
overthought	OFR0T
overthrew	OFR0R
overthrow	OFR0R
overthrowing	OFR0RWNK
overthrown	OFR0RN
overtime	OFRTM
overtire	OFRTR
overtired	OFRTRT
overtiring	OFRTRNK
overtly	OFRTL
overtone	OFRTN
overtook	OFRTK
overture	OFRTR
overturn	OFRTRN
overturned	OFRTRNT
overturning	OFRTRNNK
